MVD | p=73 | no-ch-on-page | Trust is the act of fulfilling the inherent expectation of values in mutuality
MVD | p=35 | no-ch-on-page | Humane behaviour in mutuality itself is justice
MVD | p=237 | no-ch-on-page | To disregard sentiments (values) in a relationship is indeed exploitation of that relationship
MVD | p=55 | Chapter-4 | Humans on this Earth are engaged in endeavours and experiments
MVD | p=56 | no-ch-on-page | Sociality gives rise to needs
MVD | p=106 | no-ch-on-page | Material prosperity is accomplished only by adhering
MVD | p=151 | no-ch-on-page | earning for expenditure
MVD | p=74 | no-ch-on-page | righteous expenditure
MVD | p=106 | no-ch-on-page | more production than the needs
MVD | p=NOT FOUND |  | Exploitation ( shoshan ): Unit - Conducive unit
MVD | p=NOT FOUND |  | Nurturing ( poshan ): Unit + Conducive unit
JV | p=22 | no-ch-on-page | perform study, attain mastery, then evidence it in living
JV | p=NOT FOUND |  | religion-based-governance and economics-based-governance has failed
JV | p=44 | no-ch-on-page | Profit and loss constitute a relentless cycle
JV | p=23 | no-ch-on-page | The promise was that the king would ensure the security of life and property
JV | p=52 | no-ch-on-page | Coexistence means living with complementarity
JV | p=52 | no-ch-on-page | producing in excess of our family
JV | p=39 | no-ch-on-page | values and evaluation
JV | p=39 | no-ch-on-page | fear and temptation
JV | p=NOT FOUND |  | conflict, revolt, exploitation, and war
SB | p=NOT FOUND |  | Education-sanskar is the only source of enlightenment and definitive understanding
SB | p=155 | Chapter-7 | The basis of ideas of Resolution Centred Materialism is coexistence only
SB | p=108 | no-ch-on-page | For humans, this complementary way is realised through recognising and fulfilling relationships
MVD | p=60 | no-ch-on-page | Justice pertains to the orderliness of behaviour based on policies that protect humaneness
MVD | p=NOT FOUND |  | Sociality: Fulfilling the values inherent in relationships and associations itself is sociality
