anonymous_id,source_id,member_name,faculty,middle_memberships,durability_class,derived_function_memberships,cross_cutting_requirements,arrangement_scales,pass_three_residual
X001,A-01a,Anubhav,atma,M01,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X002,A-01b,pramanikta,atma,M01,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X003,B-01a,Anand,buddhi,M01,durable-responsibility-distributed-or-conditional,education-sanskar,inquiry-and-evidence;embodiment-and-means;ecological-and-long-horizon-consequence,personal-practice;wider-temporal-and-ecological-coordination,no
X004,B-01b,dhee,buddhi,M01;M05,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X005,B-02a,Astitva,buddhi,M01,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;embodiment-and-means;continuity-and-succession,personal-practice,no
X006,B-02b,dhruti,buddhi,M01;M07,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;durable-care-and-intergenerational-relation;shared-local-coordination,no
X007,C-01a,Shruti,chitta,M01,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation,no
X008,C-01b,smriti,chitta,M01,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X009,C-02a,Medha,chitta,M02,durable-responsibility-for-complete-lifecycle,education-sanskar;production-work,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;shared-local-coordination,yes
X010,C-02b,kala,chitta,M03;M08,durable-responsibility-for-complete-lifecycle,production-work,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X011,C-03a,Kanti,chitta,M01,supportive-or-episodic-external-condition,education-sanskar,inquiry-and-evidence;protected-participation,personal-practice;shared-local-coordination,no
X012,C-03b,roop,chitta,M01;M02;M07;M08,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X013,C-04a,Nireekshan,chitta,M01;M02;M07,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;shared-local-coordination,no
X014,C-04b,guna,chitta,M02;M08,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,yes
X015,C-05a,Santosh,chitta,M01;M03;M07,durable-responsibility-for-complete-lifecycle,education-sanskar;production-work,inquiry-and-evidence;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X016,C-05b,shree,chitta,M03;M08,durable-responsibility-for-complete-lifecycle,production-work;exchange-reserve,protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X017,C-06a,Prem,chitta,M01;M06;M07,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X018,C-06b,ananyata,chitta,M03;M04;M06,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X019,C-07a,Vatsalya,chitta,M04,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X020,C-07b,sahajta,chitta,M01;M06,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security,inquiry-and-evidence;protected-participation;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X021,C-08a,Shraddha,chitta,M01,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X022,C-08b,pujyata,chitta,M05,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation,yes
X023,V-01a,Vidya,vritti,M01,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;durable-care-and-intergenerational-relation;shared-local-coordination,no
X024,V-01b,pragya,vritti,M01,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X025,V-02a,Keerti,vritti,M01;M07,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X026,V-02b,vichar,vritti,M01,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation,no
X027,V-03a,Nishchaya,vritti,M01;M07,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;durable-care-and-intergenerational-relation;shared-local-coordination,no
X028,V-03b,dhairya,vritti,M01;M06;M07,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X029,V-04a,Shanti,vritti,M01;M06,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security,inquiry-and-evidence;protected-participation;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X030,V-04b,daya,vritti,M04,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation,no
X031,V-05a,Krupa,vritti,M04,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X032,V-05b,karuna,vritti,M04,durable-responsibility-for-complete-lifecycle,justice-security,protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X033,V-06a,Dum,vritti,M01;M06,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security,inquiry-and-evidence;protected-participation;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X034,V-06b,kshama,vritti,M04,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,direct-relation;durable-care-and-intergenerational-relation,no
X035,V-07a,Tatparta,vritti,M01;M03,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;durable-care-and-intergenerational-relation;shared-local-coordination,no
X036,V-07b,utsah,vritti,M01;M07,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security,inquiry-and-evidence;protected-participation;continuity-and-succession,personal-practice;durable-care-and-intergenerational-relation;shared-local-coordination,no
X037,V-08a,Kritagyata,vritti,M01;M04;M06;M07,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security,inquiry-and-evidence;protected-participation;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
