anonymous_id,feature_01_entry_form,feature_02_ontological_locus,feature_03_operation_field,feature_04_consequence_field,feature_05_evidence_and_evaluators,feature_06_counterpart_and_topology,feature_07_internal_dependencies,feature_08_endpoint_and_provenance,feature_09_development_and_orientation,feature_10_expression_requirements,feature_11_evidence_requirements,feature_12_correction_and_protection,feature_13_continuity_and_transmission,feature_14_external_relations,feature_15_universality,feature_16_false_positive_and_open
X001,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:meaning_truth,consequence:collective_public,evaluator:first_person;evidence:agency_action;evidence:care_development;evidence:meaning_truth,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:t,dependency:evaluation_discrimination,endpoint:care_development;endpoint:collective_public;endpoint:meaning_truth;provenance:d;provenance:i,development:noncoercive_agency;development:open_inquiry,expression:unspecified,evidence_req:self_noncontradiction,correction:renewed_inquiry,continuity:care_succession_agency;continuity:inquiry_records_verification,relation:enab;relation:evid;scope:s_con;scope:s_evd,universality:u_h,false_positive:private_state_proxy;open:no
X002,entry:inward_operation_orientation;residual:closed,locus:embodied_person;locus:sentient_inward,operation:communication_representation,consequence:agency_action;consequence:communication_representation;consequence:ecological_continuity;consequence:reciprocal_relation,evaluator:affected_party;evaluator:counterpart;evaluator:first_person;evaluator:skilled_peer;evidence:agency_action;evidence:collective_public;evidence:ecological_continuity;evidence:reciprocal_relation,counterpart:collective;counterpart:direct;counterpart:durable;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:r;topology:t,dependency:selection_embodiment,endpoint:agency_action;endpoint:collective_public;endpoint:communication_representation;endpoint:ecological_continuity;endpoint:reciprocal_relation;provenance:d;provenance:i,development:practice_skill,expression:embodied_capability;expression:language_representation;expression:material_means,evidence_req:affected_party_voice;evidence_req:competence_peer_review;evidence_req:reciprocal_fulfilment;evidence_req:self_noncontradiction,correction:renewed_inquiry;correction:repair_restitution,continuity:inquiry_records_verification;continuity:intergenerational_transmission,relation:corr;relation:evid;relation:trans;scope:n_con;scope:n_cor;scope:n_evd,universality:u_h,false_positive:authority_status_proxy;false_positive:verbal_display_proxy;open:no
X003,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:meaning_truth,consequence:unspecified,evaluator:first_person;evidence:continuity_transmission;evidence:meaning_truth,counterpart:direct;topology:d;topology:j,dependency:realised_orientation,endpoint:continuity_transmission;endpoint:meaning_truth;provenance:d;provenance:i,development:open_inquiry,expression:embodied_capability,evidence_req:long_horizon_effect;evidence_req:self_noncontradiction,correction:renewed_inquiry,continuity:unspecified,relation:enab;scope:s_con,universality:u_h,false_positive:private_state_proxy;open:no
X004,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:meaning_truth,consequence:meaning_truth,evaluator:affected_party;evaluator:counterpart;evaluator:first_person;evidence:collective_public;evidence:reciprocal_relation,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j,dependency:contemplative_design;dependency:selection_embodiment,endpoint:collective_public;endpoint:meaning_truth;endpoint:reciprocal_relation;provenance:d;provenance:i,development:practice_skill,expression:consequence_visibility;expression:language_representation,evidence_req:affected_party_voice;evidence_req:reciprocal_fulfilment;evidence_req:self_noncontradiction,correction:repair_restitution;correction:retraining_changed_means,continuity:intergenerational_transmission,relation:corr;relation:enab;relation:evid;scope:n_evd;scope:s_cor;scope:s_exp,universality:u_h,false_positive:verbal_display_proxy;open:no
X005,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:meaning_truth,consequence:meaning_truth,evaluator:first_person;evidence:inquiry_discrimination;evidence:meaning_truth,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j,dependency:accepted_meaning;dependency:contemplative_design,endpoint:meaning_truth;provenance:d;provenance:i,development:feedback_critique;development:open_inquiry,expression:consequence_visibility;expression:language_representation;expression:material_means,evidence_req:self_noncontradiction,correction:renewed_inquiry,continuity:inquiry_records_verification,relation:enab;relation:evid;scope:s_con;scope:s_evd,universality:u_h,false_positive:unspecified;open:no
X006,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:unspecified,consequence:agency_action,evaluator:affected_party;evaluator:first_person;evaluator:skilled_peer;evidence:collective_public;evidence:inquiry_discrimination;evidence:skill_design,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:t,dependency:accepted_meaning;dependency:contemplative_design;dependency:evaluation_discrimination;dependency:realised_orientation;dependency:selection_embodiment,endpoint:agency_action;endpoint:collective_public;endpoint:inquiry_discrimination;endpoint:skill_design;provenance:d;provenance:i,development:noncoercive_agency;development:practice_skill,expression:embodied_capability;expression:material_means;expression:timing_discretion,evidence_req:affected_party_voice;evidence_req:competence_peer_review;evidence_req:self_noncontradiction,correction:repair_restitution;correction:retraining_changed_means,continuity:intergenerational_transmission;continuity:public_review_dissent,relation:corr;relation:evid;relation:prot;scope:n_cor;scope:n_evd;scope:s_exp,universality:u_h,false_positive:compliance_force_proxy;open:no
X007,entry:inward_operation_orientation;residual:closed,locus:embodied_person;locus:sentient_inward,operation:communication_representation,consequence:communication_representation,evaluator:counterpart;evidence:communication_representation;evidence:meaning_truth,counterpart:collective;counterpart:direct;topology:b;topology:c;topology:d;topology:j;topology:t,dependency:accepted_meaning;dependency:evaluation_discrimination;dependency:selection_embodiment,endpoint:communication_representation;endpoint:meaning_truth;provenance:d;provenance:i,development:open_inquiry,expression:embodied_capability;expression:language_representation;expression:material_means,evidence_req:competence_peer_review,correction:renewed_inquiry,continuity:inquiry_records_verification,relation:enab;relation:evid;relation:trans;scope:n_evd;scope:s_con;scope:s_exp,universality:u_h,false_positive:verbal_display_proxy;open:no
X008,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:communication_representation,consequence:unspecified,evaluator:counterpart;evaluator:first_person;evidence:communication_representation;evidence:continuity_transmission,counterpart:direct;topology:b;topology:d;topology:j;topology:t,dependency:selection_embodiment,endpoint:communication_representation;provenance:d;provenance:i,development:continuity_exposure,expression:language_representation;expression:timing_discretion,evidence_req:self_noncontradiction,correction:renewed_inquiry,continuity:inquiry_records_verification;continuity:intergenerational_transmission;continuity:skill_tools_maintenance,relation:enab;relation:evid;relation:trans;scope:n_evd;scope:s_con,universality:u_h,false_positive:unspecified;open:no
X009,entry:inward_operation_orientation;residual:open,locus:sentient_inward,operation:unspecified,consequence:inquiry_discrimination;consequence:skill_design,evaluator:affected_party;evaluator:first_person;evaluator:skilled_peer;evidence:agency_action;evidence:collective_public;evidence:skill_design,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:t,dependency:contemplative_design;dependency:selection_embodiment,endpoint:agency_action;endpoint:collective_public;endpoint:inquiry_discrimination;endpoint:skill_design;provenance:d;provenance:i;provenance:o,development:continuity_exposure,expression:unspecified,evidence_req:affected_party_voice;evidence_req:competence_peer_review;evidence_req:self_noncontradiction,correction:retraining_changed_means,continuity:inquiry_records_verification;continuity:skill_tools_maintenance,relation:enab;relation:evid;scope:s_con;scope:s_evd,universality:u_h,false_positive:material_sensory_proxy;false_positive:output_efficiency_proxy;false_positive:verbal_display_proxy;open:yes
X010,entry:material_sensory_property;residual:closed,locus:embodied_person;locus:material_ecological,operation:aesthetic_affinity,consequence:aesthetic_affinity;consequence:collective_public;consequence:material_provision;consequence:skill_design,evaluator:affected_party;evaluator:skilled_peer;evidence:aesthetic_affinity;evidence:collective_public;evidence:material_provision;evidence:skill_design,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:t,dependency:accepted_meaning;dependency:evaluation_discrimination;dependency:selection_embodiment,endpoint:aesthetic_affinity;endpoint:collective_public;endpoint:material_provision;endpoint:skill_design;provenance:d;provenance:i,development:feedback_critique;development:material_access;development:practice_skill,expression:consequence_visibility;expression:embodied_capability;expression:material_means,evidence_req:affected_party_voice;evidence_req:competence_peer_review,correction:redesign_procedure;correction:repair_restitution;correction:retraining_changed_means,continuity:inquiry_records_verification;continuity:intergenerational_transmission;continuity:skill_tools_maintenance,relation:enab;relation:evid;relation:trans;scope:n_evd;scope:n_exp;scope:s_con,universality:u_h,false_positive:authority_status_proxy;false_positive:material_sensory_proxy;open:no
