anonymous_id,durability_triggers,durability_class,channel_memberships,u01_score,u02_score,u03_score,u04_score,u05_score,interface_requirements,arrangement_scales,input_residual,trace_basis
X001,D01;D02;D03;D05,D3,U01,14,7,0,1,5,X01;X02;X04,S01;S02;S03;S04,no,U01=continuity:inquiry_records_verification+correction:renewed_inquiry+dependency:evaluation_discrimination+development:open_inquiry+endpoint:meaning_truth+evaluator:first_person+evidence_req:self_noncontradiction+locus:sentient_inward+operation:meaning_truth
X002,D01;D02;D03;D04;D05,D3,U01,18,12,2,8,7,X01;X02;X03;X04,S01;S02;S03;S04,no,U01=consequence:communication_representation+continuity:inquiry_records_verification+continuity:intergenerational_transmission+correction:renewed_inquiry+endpoint:communication_representation+evaluator:first_person+evaluator:skilled_peer+evidence_req:competence_peer_review+evidence_req:self_noncontradiction+expression:language_representation+locus:sentient_inward+operation:communication_representation
X003,D02;D03;D05,D2,U01,12,1,1,1,3,X01;X03;X05,S01;S05,no,U01=correction:renewed_inquiry+dependency:realised_orientation+development:open_inquiry+endpoint:meaning_truth+evaluator:first_person+evidence_req:self_noncontradiction+locus:sentient_inward+operation:meaning_truth
X004,D01;D02;D03;D04;D05,D3,U01,14,9,0,4,7,X01;X02;X03;X04,S01;S02;S03;S04,no,U01=consequence:meaning_truth+continuity:intergenerational_transmission+dependency:contemplative_design+endpoint:meaning_truth+evaluator:first_person+evidence_req:self_noncontradiction+expression:consequence_visibility+expression:language_representation+locus:sentient_inward+operation:meaning_truth
X005,D01;D02;D03;D05,D3,U01,21,1,0,2,2,X01;X03;X04,S01,no,U01=consequence:meaning_truth+continuity:inquiry_records_verification+correction:renewed_inquiry+dependency:accepted_meaning+dependency:contemplative_design+development:feedback_critique+development:open_inquiry+endpoint:meaning_truth+evaluator:first_person+evidence_req:self_noncontradiction+expression:consequence_visibility+expression:language_representation+locus:sentient_inward+operation:meaning_truth
X006,D01;D02;D03;D04;D05,D3,U01;U02,13,10,1,8,8,X01;X02;X03;X04,S01;S03;S04,no,U01=continuity:intergenerational_transmission+dependency:accepted_meaning+dependency:contemplative_design+dependency:evaluation_discrimination+dependency:realised_orientation+endpoint:inquiry_discrimination+evaluator:first_person+evaluator:skilled_peer+evidence_req:competence_peer_review+evidence_req:self_noncontradiction+locus:sentient_inward | U02=continuity:public_review_dissent+correction:repair_restitution+counterpart:direct+development:noncoercive_agency+evaluator:affected_party+evidence_req:affected_party_voice+expression:timing_discretion
X007,D01;D02;D03;D05,D3,U01,19,2,2,1,1,X01;X03;X04,S01;S02,no,U01=consequence:communication_representation+continuity:inquiry_records_verification+correction:renewed_inquiry+dependency:accepted_meaning+dependency:evaluation_discrimination+development:open_inquiry+endpoint:communication_representation+endpoint:meaning_truth+evidence_req:competence_peer_review+expression:language_representation+locus:sentient_inward+operation:communication_representation
X008,D01;D02;D03;D05,D3,U01,14,3,0,2,2,X01;X04,S01;S02;S03;S04,no,U01=continuity:inquiry_records_verification+continuity:intergenerational_transmission+correction:renewed_inquiry+endpoint:communication_representation+evaluator:first_person+evidence_req:self_noncontradiction+expression:language_representation+locus:sentient_inward+operation:communication_representation
X009,D01;D02;D03;D04;D05,D3,U01;U04,12,3,1,11,7,X01;X02;X03;X04,S01;S04,yes,U01=consequence:inquiry_discrimination+continuity:inquiry_records_verification+dependency:contemplative_design+endpoint:inquiry_discrimination+evaluator:first_person+evaluator:skilled_peer+evidence_req:competence_peer_review+evidence_req:self_noncontradiction+locus:sentient_inward | U04=consequence:skill_design+continuity:skill_tools_maintenance+correction:retraining_changed_means+counterpart:material_ecological+endpoint:skill_design+evaluator:skilled_peer+false_positive:output_efficiency_proxy
X010,D01;D02;D03;D04;D05,D3,U04,11,5,9,20,11,X01;X02;X03;X04,S01;S03;S04;S05,no,U04=consequence:material_provision+consequence:skill_design+continuity:skill_tools_maintenance+correction:redesign_procedure+correction:retraining_changed_means+counterpart:material_ecological+development:material_access+development:practice_skill+endpoint:material_provision+endpoint:skill_design+evaluator:skilled_peer+expression:material_means+locus:material_ecological
