anonymous_id,source_id,member_name,faculty,coarse_primary,coarse_memberships,middle_primary,middle_memberships,fine_primary,fine_memberships,residual_flag,middle_stability_score,middle_stability
X001,A-01a,Anubhav,atma,C01,C01,M01,M01,F01,F01,no,0.876190,stable
X002,A-01b,pramanikta,atma,C01,C01,M01,M01,F02,F02;F10,no,0.876190,stable
X003,B-01a,Anand,buddhi,C01,C01,M01,M01,F01,F01,no,0.876190,stable
X004,B-01b,dhee,buddhi,C01,C01,M01,M01;M05,F02,F01;F02,no,0.876190,stable
X005,B-02a,Astitva,buddhi,C01,C01,M01,M01,F01,F01,no,0.876190,stable
X006,B-02b,dhruti,buddhi,C01,C01,M01,M01;M07,F02,F02,no,0.876190,stable
X007,C-01a,Shruti,chitta,C01,C01,M01,M01,F01,F01;F10,no,0.876190,stable
X008,C-01b,smriti,chitta,C01,C01,M01,M01,F01,F01;F02,no,0.876190,stable
X009,C-02a,Medha,chitta,C01,C01,M02,M02,F03,F03;F05,yes,0.033333,sensitive_open_field
X010,C-02b,kala,chitta,C02,C02,M03,M03;M08,F04,F02;F04;F06;F14,no,0.383929,sensitive
X011,C-03a,Kanti,chitta,C01,C01,M01,M01,F01,F01,no,0.876190,stable
X012,C-03b,roop,chitta,C01,C01;C02,M01,M01;M02;M07;M08,F02,F02;F05;F10;F12;F13,no,0.011905,sensitive
X013,C-04a,Nireekshan,chitta,C01,C01,M01,M01;M02;M07,F02,F01;F02;F03;F05;F12;F13,no,0.411905,sensitive
X014,C-04b,guna,chitta,C01,C02;C03,M02,M02;M08,F05,F03;F05,yes,0.272727,sensitive_open_field
X015,C-05a,Santosh,chitta,C01,C01,M01,M01;M03;M07,F02,F01;F02;F03;F06;F07;F12;F13,no,0.876190,stable
X016,C-05b,shree,chitta,C02,C02,M03,M03;M08,F06,F06,no,0.383929,sensitive
X017,C-06a,Prem,chitta,C01,C01;C03,M01,M01;M06;M07,F02,F02;F07;F11;F12;F13,no,0.876190,stable
X018,C-06b,ananyata,chitta,C02,C03,M03,M03;M04;M06,F07,F04;F06;F07;F08;F11,no,0.060714,sensitive
X019,C-07a,Vatsalya,chitta,C03,C03,M04,M04,F08,F08,no,0.811966,stable
X020,C-07b,sahajta,chitta,C01,C01,M01,M01;M06,F02,F02,no,0.876190,stable
X021,C-08a,Shraddha,chitta,C01,C01,M01,M01,F02,F01;F02,no,0.876190,stable
X022,C-08b,pujyata,chitta,C01,C01,M05,M05,F09,F03;F09,yes,0.018519,sensitive_open_field
X023,V-01a,Vidya,vritti,C01,C01,M01,M01,F02,F02,no,0.876190,stable
X024,V-01b,pragya,vritti,C01,C01,M01,M01,F01,F01,no,0.876190,stable
X025,V-02a,Keerti,vritti,C01,C01,M01,M01;M07,F10,F10,no,0.876190,stable
X026,V-02b,vichar,vritti,C01,C01,M01,M01,F01,F01;F02;F10,no,0.876190,stable
X027,V-03a,Nishchaya,vritti,C01,C01,M01,M01;M07,F02,F02;F12;F13,no,0.876190,stable
X028,V-03b,dhairya,vritti,C03,C01;C03,M06,M01;M06;M07,F11,F02;F11;F12,no,0.888889,stable
X029,V-04a,Shanti,vritti,C01,C01,M01,M01;M06,F01,F01;F02,no,0.876190,stable
X030,V-04b,daya,vritti,C03,C03,M04,M04,F08,F08,no,0.811966,stable
X031,V-05a,Krupa,vritti,C03,C03,M04,M04,F08,F07;F08,no,0.811966,stable
X032,V-05b,karuna,vritti,C03,C03,M04,M04,F08,F07;F08,no,0.811966,stable
